5049819680101 37.9 20.9 18.619900 21.3-99.9-99.9-99.9-9.9 9920.7 50 18.1  18 14.4-9.9-9.9
5049819680102 29.8 19.8  0.009900 19.0-99.9-99.9-99.9-9.9 9912.7 43 10.5  27 21.6-9.9-9.9
5049819680103 26.6 10.7  0.009900  8.5-99.9-99.9-99.9-9.9 99 9.5 36  6.2  14 11.2-9.9-9.9
5049819680104 29.8 13.0  0.009900  9.9-99.9-99.9-99.9-9.9 9910.9 35  8.2   9  7.2-9.9-9.9
5049819680105 31.6 16.8  0.009900 13.7-99.9-99.9-99.9-9.9 9911.8 34  9.4   9  7.2-9.9-9.9
5049819680106 33.9 18.0  0.009900 15.5-99.9-99.9-99.9-9.9 99 9.9 26  6.8  11  8.8-9.9-9.9
5049819680107 37.6 17.9  0.009900 15.8-99.9-99.9-99.9-9.9 9913.4 32 11.3  15 12.0-9.9-9.9
5049819680108 37.6 23.2  0.519900 23.5-99.9-99.9-99.9-9.9 9917.2 44 15.1  24 19.2-9.9-9.9
5049819680109 30.0 22.8  0.009900 20.7-99.9-99.9-99.9-9.9 9920.9 61 18.2   5  4.0-9.9-9.9
5049819680110 36.4 21.3  0.009900 18.1-99.9-99.9-99.9-9.9 9920.1 45 17.6   7  5.6-9.9-9.9
5049819680111 36.3 23.1  0.009900 21.7-99.9-99.9-99.9-9.9 9921.7 55 18.8  11  8.8-9.9-9.9
5049819680112 35.5 22.7  0.009900 21.6-99.9-99.9-99.9-9.9 9920.3 58 17.7  16 12.8-9.9-9.9
5049819680113 29.3 20.0 14.519900 19.9-99.9-99.9-99.9-9.9 9920.6 69 18.0  11  8.8-9.9-9.9
5049819680114 32.1 18.3  0.009900 17.0-99.9-99.9-99.9-9.9 9917.4 51 15.3   2  1.6-9.9-9.9
5049819680115 34.4 18.8  0.009900 14.4-99.9-99.9-99.9-9.9 9913.4 34 11.3  11  8.8-9.9-9.9
5049819680116 34.5 21.7  0.009900 20.1-99.9-99.9-99.9-9.9 9915.3 42 13.3  13 10.4-9.9-9.9
5049819680117 35.5 20.7  0.009900 17.2-99.9-99.9-99.9-9.9 9919.7 52 17.3  11  8.8-9.9-9.9
5049819680118 36.2 21.8  0.009900 19.7-99.9-99.9-99.9-9.9 9918.6 41 16.4   9  7.2-9.9-9.9
5049819680119 36.9 21.3 18.519900 18.2-99.9-99.9-99.9-9.9 9920.2 45 17.7  18 14.4-9.9-9.9
5049819680120 28.7 20.7  6.319900 20.3-99.9-99.9-99.9-9.9 9923.5 80 20.1   7  5.6-9.9-9.9
5049819680121 33.3 20.9  0.009900 19.0-99.9-99.9-99.9-9.9 9921.5 55 18.7  13 10.4-9.9-9.9
5049819680122 32.0 18.9  0.009900 17.5-99.9-99.9-99.9-9.9 9916.3 48 14.3  13 10.4-9.9-9.9
5049819680123 30.2 17.9  0.009900 16.1-99.9-99.9-99.9-9.9 9913.9 44 11.9  18 14.4-9.9-9.9
5049819680124 30.8 19.3  0.009900 18.6-99.9-99.9-99.9-9.9 9917.9 56 15.8   7  5.6-9.9-9.9
5049819680125 32.4 21.5  0.009900 20.3-99.9-99.9-99.9-9.9 9923.0 61 19.7  11  8.8-9.9-9.9
5049819680126 35.7 21.9 48.719900 20.6-99.9-99.9-99.9-9.9 9923.1 55 19.8  13 10.4-9.9-9.9
5049819680127 27.3 21.6  9.519900 20.8-99.9-99.9-99.9-9.9 9925.7 86 21.5  11  8.8-9.9-9.9
5049819680128 31.6 21.9  0.009900 21.0-99.9-99.9-99.9-9.9 9926.3 75 21.9   4  3.2-9.9-9.9
5049819680129 28.5 22.5  0.819900 21.2-99.9-99.9-99.9-9.9 9926.1 86 21.8   6  4.8-9.9-9.9
5049819680130 31.1 22.5  0.009900 21.7-99.9-99.9-99.9-9.9 9922.1 63 19.1  19 15.2-9.9-9.9
5049819680131 27.7 19.9  0.009900 18.5-99.9-99.9-99.9-9.9 9916.6 57 14.6  21 16.8-9.9-9.9
5049819680201 27.9 19.4  0.009900 19.0-99.9-99.9-99.9-9.9 9922.3 71 19.2   7  5.6-9.9-9.9
5049819680202 32.6 20.0  0.009900 18.6-99.9-99.9-99.9-9.9 9922.6 66 19.5  11  8.8-9.9-9.9
5049819680203 31.8 20.8  0.009900 19.2-99.9-99.9-99.9-9.9 9921.1 54 18.4   7  5.6-9.9-9.9
5049819680204 33.0 22.2  2.319900 19.0-99.9-99.9-99.9-9.9 9921.1 55 18.4   6  4.8-9.9-9.9
5049819680205 31.9 22.4  6.019900 19.5-99.9-99.9-99.9-9.9 9925.5 69 21.4   7  5.6-9.9-9.9
5049819680206 33.3 20.8  2.819900 20.5-99.9-99.9-99.9-9.9 9925.3 77 21.3  11  8.8-9.9-9.9
5049819680207 33.0 20.2  0.009900 19.2-99.9-99.9-99.9-9.9 9926.5 67 22.0   6  4.8-9.9-9.9
5049819680208 35.3 22.5  0.009900 21.0-99.9-99.9-99.9-9.9 9925.9 57 21.7  11  8.8-9.9-9.9
5049819680209 36.2 23.1 19.519900 20.9-99.9-99.9-99.9-9.9 9926.1 56 21.8   9  7.2-9.9-9.9
5049819680210 26.9 21.1 21.019900 20.7-99.9-99.9-99.9-9.9 9923.6 87 20.2   6  4.8-9.9-9.9
5049819680211 30.3 21.1 13.519900 20.7-99.9-99.9-99.9-9.9 9927.9 79 22.9   6  4.8-9.9-9.9
5049819680212 26.1 20.4 43.519900 20.5-99.9-99.9-99.9-9.9 9923.2 85 19.9   4  3.2-9.9-9.9
5049819680213 29.8 17.7  0.009900 15.8-99.9-99.9-99.9-9.9 9922.6 69 19.5   2  1.6-9.9-9.9
5049819680214 28.2 16.7  0.009900 17.5-99.9-99.9-99.9-9.9 9916.9 58 14.9  11  8.8-9.9-9.9
5049819680215 27.1 14.0  0.009900 11.5-99.9-99.9-99.9-9.9 9914.8 53 12.8   2  1.6-9.9-9.9
5049819680216 29.7 15.9  0.009900 12.4-99.9-99.9-99.9-9.9 9918.3 59 16.1   4  3.2-9.9-9.9
5049819680217 32.1 17.5  0.009900 14.9-99.9-99.9-99.9-9.9 9919.7 54 17.3   4  3.2-9.9-9.9
5049819680218 32.1 18.0  0.009900 14.1-99.9-99.9-99.9-9.9 9919.8 56 17.3   6  4.8-9.9-9.9
5049819680219 34.0 18.8  0.009900 16.0-99.9-99.9-99.9-9.9 9922.6 58 19.5   4  3.2-9.9-9.9
5049819680220 32.9 18.5  0.009900 16.3-99.9-99.9-99.9-9.9 9920.0 57 17.5   2  1.6-9.9-9.9
5049819680221 33.1 20.6  0.009900 17.9-99.9-99.9-99.9-9.9 9920.7 55 18.1   4  3.2-9.9-9.9
5049819680222 24.9 19.7  0.009900 18.5-99.9-99.9-99.9-9.9 9920.7 72 18.1   7  5.6-9.9-9.9
5049819680223 26.8 14.3  0.009900 13.4-99.9-99.9-99.9-9.9 9912.9 55 10.7   8  6.4-9.9-9.9
5049819680224 27.6 11.5  0.009900  8.7-99.9-99.9-99.9-9.9 9915.7 59 13.7   9  7.2-9.9-9.9
5049819680225 29.7 14.9  0.009900 11.7-99.9-99.9-99.9-9.9 9913.6 46 11.5   8  6.4-9.9-9.9
5049819680226 30.7 16.4  0.009900 14.0-99.9-99.9-99.9-9.9 9914.2 47 12.2   6  4.8-9.9-9.9
5049819680227 33.6 17.4  0.009900 13.9-99.9-99.9-99.9-9.9 9918.0 52 15.8   4  3.2-9.9-9.9
5049819680228 32.3 17.0  0.009900 14.3-99.9-99.9-99.9-9.9 9919.8 59 17.3   9  7.2-9.9-9.9
5049819680229 34.9 18.9  0.009900 16.6-99.9-99.9-99.9-9.9 9920.1 50 17.6   4  3.2-9.9-9.9
5049819680301 35.6 21.0  0.009900 17.8-99.9-99.9-99.9-9.9 9922.4 56 19.3   4  3.2-9.9-9.9
5049819680302 35.8 21.2  0.009900 17.2-99.9-99.9-99.9-9.9 9920.9 49 18.2  15 12.0-9.9-9.9
5049819680303 32.8 20.0  0.009900 16.7-99.9-99.9-99.9-9.9 9919.6 53 17.2  10  8.0-9.9-9.9
5049819680304 35.6 20.6  0.009900 17.3-99.9-99.9-99.9-9.9 9919.7 50 17.3   6  4.8-9.9-9.9
5049819680305 37.1 21.9  0.009900 19.0-99.9-99.9-99.9-9.9 9922.6 53 19.5  11  8.8-9.9-9.9
5049819680306 34.6 22.7  0.009900 20.6-99.9-99.9-99.9-9.9 9922.9 57 19.7  15 12.0-9.9-9.9
5049819680307 34.7 19.8  0.009900 17.9-99.9-99.9-99.9-9.9 9924.4 60 20.7   7  5.6-9.9-9.9
5049819680308 35.5 22.4  0.009900 21.2-99.9-99.9-99.9-9.9 9925.0 58 21.1  11  8.8-9.9-9.9
5049819680309 31.0 20.8  0.009900 20.9-99.9-99.9-99.9-9.9 9923.0 77 19.7  11  8.8-9.9-9.9
5049819680310 29.8 15.4  0.009900 14.2-99.9-99.9-99.9-9.9 9917.6 62 15.5   9  7.2-9.9-9.9
5049819680311 30.7 18.1  0.009900 17.3-99.9-99.9-99.9-9.9 9915.9 51 13.9  13 10.4-9.9-9.9
5049819680312 32.9 18.6  0.009900 16.3-99.9-99.9-99.9-9.9 9913.2 39 11.1   9  7.2-9.9-9.9
5049819680313 34.0 19.7  0.009900 18.0-99.9-99.9-99.9-9.9 9922.2 58 19.2  21 16.8-9.9-9.9
5049819680314 36.2 23.5 98.819900 22.4-99.9-99.9-99.9-9.9 9925.5 65 21.4  21 16.8-9.9-9.9
5049819680315 20.9 16.8  6.419900 18.0-99.9-99.9-99.9-9.9 9917.1 81 15.0  19 15.2-9.9-9.9
5049819680316 21.1 13.2  0.009900 16.4-99.9-99.9-99.9-9.9 9911.4 61  8.9  21 16.8-9.9-9.9
5049819680317 24.1 11.1  0.009900  9.1-99.9-99.9-99.9-9.9 9912.5 60 10.3  16 12.8-9.9-9.9
5049819680318 28.8 13.5  0.009900 11.7-99.9-99.9-99.9-9.9 9917.8 66 15.7  11  8.8-9.9-9.9
5049819680319 30.7 19.8 66.719900 18.6-99.9-99.9-99.9-9.9 9922.7 79 19.5   6  4.8-9.9-9.9
5049819680320 20.6 18.3 94.419900 19.4-99.9-99.9-99.9-9.9 9920.0 89 17.5   9  7.2-9.9-9.9
5049819680321 27.1 17.6  0.009900 15.4-99.9-99.9-99.9-9.9 9921.6 82 18.7  11  8.8-9.9-9.9
5049819680322 26.0 17.8  0.009900 15.8-99.9-99.9-99.9-9.9 9923.4 87 20.0   7  5.6-9.9-9.9
5049819680323 28.8 17.9  0.009900 16.5-99.9-99.9-99.9-9.9 9922.8 76 19.6   6  4.8-9.9-9.9
5049819680324 33.1 22.0  0.719900 20.5-99.9-99.9-99.9-9.9 9928.2 73 23.1   9  7.2-9.9-9.9
5049819680325 27.7 16.9171.519900 19.8-99.9-99.9-99.9-9.9 9919.3 90 16.9  21 16.8-9.9-9.9
5049819680326 17.1 11.5  3.619900 12.8-99.9-99.9-99.9-9.9 9913.3 87 11.2  13 10.4-9.9-9.9
5049819680327 21.3 10.4  0.009900  8.1-99.9-99.9-99.9-9.9 9912.9 68 10.7   7  5.6-9.9-9.9
5049819680328 20.4 13.3  0.619900 10.7-99.9-99.9-99.9-9.9 9918.6 91 16.4  10  8.0-9.9-9.9
5049819680329 22.5 16.6  0.009900 15.1-99.9-99.9-99.9-9.9 9919.4 82 17.0   2  1.6-9.9-9.9
5049819680330 27.2 14.5  0.009900 11.8-99.9-99.9-99.9-9.9 9921.3 81 18.5   4  3.2-9.9-9.9
5049819680331 23.2 15.0  0.009900 13.8-99.9-99.9-99.9-9.9 9916.8 80 14.8  21 16.8-9.9-9.9
5049819680401 20.4 11.1  0.009900  9.1-99.9-99.9-99.9-9.9 9913.5 72 11.4  18 14.4-9.9-9.9
5049819680402 23.0 12.0  0.009900  9.5-99.9-99.9-99.9-9.9 9914.3 74 12.3  16 12.8-9.9-9.9
5049819680403 23.8 11.2  0.009900  8.9-99.9-99.9-99.9-9.9 9915.3 71 13.3   9  7.2-9.9-9.9
