5006719590101-99.9 18.6  0.009900-99.9-99.9-99.9-99.9-9.9 9918.7 77 16.4   4  3.2-9.9-9.9
5006719590102 31.3 20.1 59.019900-99.9-99.9-99.9-99.9-9.9 9919.3 71 16.9   6  4.8-9.9-9.9
5006719590103 28.5 20.1  9.019900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5006719590104-99.9 20.7 15.019900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5006719590105 26.3 19.1  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5006719590106 25.3 18.1  0.009900-99.9-99.9-99.9-99.9-9.9 9913.6 68 11.5   4  3.2-9.9-9.9
5006719590107 26.8 17.6  0.009900-99.9-99.9-99.9-99.9-9.9 9913.2 63 11.1   1  0.8-9.9-9.9
5006719590108 28.8 19.6  0.009900-99.9-99.9-99.9-99.9-9.9 9915.3 62 13.3 -99-99.9-9.9-9.9
5006719590109 29.3 22.1  0.009900-99.9-99.9-99.9-99.9-9.9 9917.9 73 15.8   4  3.2-9.9-9.9
5006719590110 28.3 17.6  0.009900-99.9-99.9-99.9-99.9-9.9 9918.5 76 16.3  11  8.8-9.9-9.9
5006719590111 28.8 17.6  0.009900-99.9-99.9-99.9-99.9-9.9 9919.6 77 17.2   9  7.2-9.9-9.9
5006719590112 30.3 18.6  0.009900-99.9-99.9-99.9-99.9-9.9 9916.9 64 14.9   9  7.2-9.9-9.9
5006719590113 30.2 16.6  0.009900-99.9-99.9-99.9-99.9-9.9 9922.9 82 19.7   4  3.2-9.9-9.9
5006719590114 32.3 19.1  0.009900-99.9-99.9-99.9-99.9-9.9 9919.9 68 17.4   6  4.8-9.9-9.9
5006719590115 29.8 19.1  0.009900-99.9-99.9-99.9-99.9-9.9 9918.6 84 16.4   2  1.6-9.9-9.9
5006719590116 30.8 22.1  0.009900-99.9-99.9-99.9-99.9-9.9 9917.3 65 15.2   7  5.6-9.9-9.9
5006719590117 25.0 17.3  0.009900-99.9-99.9-99.9-99.9-9.9 9917.2 72 15.1  11  8.8-9.9-9.9
5006719590118 27.8 15.1  0.009900-99.9-99.9-99.9-99.9-9.9 9914.6 77 12.6   0  0.0-9.9-9.9
5006719590119 32.3 19.6  0.009900-99.9-99.9-99.9-99.9-9.9 9913.8 55 11.8   9  7.2-9.9-9.9
5006719590120 33.3 22.1  0.009900-99.9-99.9-99.9-99.9-9.9 9916.3 58 14.3   4  3.2-9.9-9.9
5006719590121 33.8 21.6 43.019900-99.9-99.9-99.9-99.9-9.9 9919.3 58 16.9   4  3.2-9.9-9.9
5006719590122 33.2 19.6  0.009900-99.9-99.9-99.9-99.9-9.9 9916.7 74 14.7   4  3.2-9.9-9.9
5006719590123 29.8 20.1  0.009900-99.9-99.9-99.9-99.9-9.9 9918.9 69 16.6   6  4.8-9.9-9.9
5006719590124 31.3 21.1  0.009900-99.9-99.9-99.9-99.9-9.9 9919.5 73 17.1   6  4.8-9.9-9.9
5006719590125 30.8 24.1  0.009900-99.9-99.9-99.9-99.9-9.9 9918.9 66 16.6  15 12.0-9.9-9.9
5006719590126 34.3 23.6  0.009900-99.9-99.9-99.9-99.9-9.9 9924.0 74 20.4   4  3.2-9.9-9.9
5006719590127 34.8 21.1 16.419900-99.9-99.9-99.9-99.9-9.9 9920.8 67 18.1   7  5.6-9.9-9.9
5006719590128 25.8 21.6  0.009900-99.9-99.9-99.9-99.9-9.9 9919.1 90 16.8   2  1.6-9.9-9.9
5006719590129 30.8 22.6  6.019900-99.9-99.9-99.9-99.9-9.9 9921.4 75 18.6   4  3.2-9.9-9.9
5006719590130 30.8 21.1  0.009900-99.9-99.9-99.9-99.9-9.9 9918.1 76 15.9   6  4.8-9.9-9.9
5006719590131 31.0 19.6  0.009900-99.9-99.9-99.9-99.9-9.9 9916.5 76 14.5   9  7.2-9.9-9.9
5006719590201 28.0 21.1  0.009900-99.9-99.9-99.9-99.9-9.9 9914.4 64 12.4   9  7.2-9.9-9.9
5006719590202 30.8 19.6  0.009900-99.9-99.9-99.9-99.9-9.9 9916.8 63 14.8   3  2.4-9.9-9.9
5006719590203 31.8 22.6  0.009900-99.9-99.9-99.9-99.9-9.9 9922.5 73 19.4  13 10.4-9.9-9.9
5006719590204 33.4 22.1 39.019900-99.9-99.9-99.9-99.9-9.9 9920.4 62 17.8   7  5.6-9.9-9.9
